"Id","Value","DisplayName","Description"
"d07a8cc0-3d51-4b77-b3b0-32704d1f69fa","AccessReview.Read.All","Read all access reviews","Allows the app to read access reviews, reviewers, decisions and settings in the organization, without a signed-in user."
"ef5f7d5c-338f-44b0-86c3-351f46c8bb5f","AccessReview.ReadWrite.All","Manage all access reviews","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization, without a signed-in user."
"18228521-a591-40f1-b215-5fad4488c117","AccessReview.ReadWrite.Membership","Manage access reviews for group and app memberships","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization for group and app memberships, without a signed-in user."
"8c0aed2c-0c61-433d-b63c-6370ddc73248","Acronym.Read.All","Read all acronyms","Allows an app to read all acronyms without a signed-in user."
"134fd756-38ce-4afd-ba33-e9623dbe66c2","AdministrativeUnit.Read.All","Read all administrative units","Allows the app to read administrative units and administrative unit membership without a signed-in user."
"5eb59dd3-1da2-4329-8733-9dabdc435916","AdministrativeUnit.ReadWrite.All","Read and write all administrative units","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership without a signed-in user."
"2f479c7e-27df-4053-826b-57d8ce55be3e","AgentApplication.Create","Create agent applications.","Allows creating new agent applications and their associated service principals."
"2c4c43c7-1903-4658-a911-b8f2bb31e32e","AgentIdentity.Create","Create agent identities linked to itself.","Allows the app to create linked agent identities without a signed-in user."
"2f3e6f8c-093b-4c57-a58b-ba5ce494a169","Agreement.Read.All","Read all terms of use agreements","Allows the app to read terms of use agreements, without a signed in user."
"c9090d00-6101-42f0-a729-c41074260d47","Agreement.ReadWrite.All","Read and write all terms of use agreements","Allows the app to read and write terms of use agreements, without a signed in user."
"d8e4ec18-f6c0-4620-8122-c8b1f2bf400e","AgreementAcceptance.Read.All","Read all terms of use acceptance statuses","Allows the app to read terms of use acceptance statuses, without a signed in user."
"839c90ab-5771-41ee-aef8-a562e8487c1e","AiEnterpriseInteraction.Read.All","Read all AI enterprise interactions.","Allows the app to read all AI enterprise interactions."
"b86848a7-d5b1-41eb-a9b4-54a4e6306e97","APIConnectors.Read.All","Read API connectors for authentication flows","Allows the app to read the API connectors used in user authentication flows, without a signed-in user."
"1dfe531a-24a6-4f1b-80f4-7a0dc5a0a171","APIConnectors.ReadWrite.All","Read and write API connectors for authentication flows","Allows the app to read, create and manage the API connectors used in user authentication flows, without a signed-in user."
"e12dae10-5a57-4817-b79d-dfbec5348930","AppCatalog.Read.All","Read all app catalogs","Allows the app to read apps in the app catalogs without a signed-in user."
"dc149144-f292-421e-b185-5953f2e98d7f","AppCatalog.ReadWrite.All","Read and write to all app catalogs","Allows the app to create, read, update, and delete apps in the app catalogs without a signed-in user."
"3be0012a-cc4e-426b-895b-f9c836bf6381","Application-RemoteDesktopConfig.ReadWrite.All","Read and write the remote desktop security configuration for all apps","Allows the app to read and write the remote desktop security configuration for all apps in your organization, without a signed-in user."
"9a5d68dd-52b0-4cc2-bd40-abcf44ac3a30","Application.Read.All","Read all applications","Allows the app to read all applications and service principals without a signed-in user."
"1bfefb4e-e0b5-418b-a88f-73c46d2cc8e9","Application.ReadWrite.All","Read and write all applications","Allows the app to create, read, update and delete applications and service principals without a signed-in user.  Does not allow management of consent grants."
"18a4783c-866b-4cc7-a460-3d5e5662c884","Application.ReadWrite.OwnedBy","Manage apps that this app creates or owns","Allows the app to create other applications, and fully manage those applications (read, update, update application secrets and delete), without a signed-in user.  It cannot update any apps that it is not an owner of."
"06b708a9-e830-4db3-a914-8e69da51d44f","AppRoleAssignment.ReadWrite.All","Manage app permission grants and app role assignments","Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, without a signed-in user."
"9f265de7-8d5e-4e9a-a805-5e8bbc49656f","ApprovalSolution.Read.All","Read all approvals","Allows the app to read all approvals and approval item subscriptions, without a signed-in user."
